SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,SUBGROUP CODE,Race,GRADE 9,GRADE 10,GRADE 11,GRADE 12
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,04,American Indian/Alaska Native,14,17,11,65
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,05,Black,437,423,415,1476
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,06,Hispanic,470,388,431,1764
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,07,Asian/Pacific Islander,44,58,93,347
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,08,White,86,80,131,581
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,09,Multiracial,7,6,6,19
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,04,American Indian/Alaska Native,6,3,8,7
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,05,Black,128,126,150,122
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,06,Hispanic,334,351,285,294
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,07,Asian/Pacific Islander,159,232,190,185
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,08,White,173,154,168,137
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,09,Multiracial,26,13,13,12
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,04,American Indian/Alaska Native,74,64,61,59
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,05,Black,1766,1806,1578,1406
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,06,Hispanic,4079,3962,3841,3424
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,07,Asian/Pacific Islander,1555,1559,1524,1443
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,08,White,1260,1243,1277,1134
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,09,Multiracial,445,312,225,180
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,04,American Indian/Alaska Native,21,17,10,18
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,05,Black,388,444,362,411
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,06,Hispanic,760,883,725,738
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,07,Asian/Pacific Islander,241,297,220,252
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,08,White,473,609,626,611
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,09,Multiracial,146,216,145,103
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,04,American Indian/Alaska Native,12,10,8,9
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,05,Black,181,203,207,194
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,06,Hispanic,465,503,493,506
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,07,Asian/Pacific Islander,151,126,130,139
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,08,White,68,49,43,32
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,09,Multiracial,24,21,13,10
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,04,American Indian/Alaska Native,12,6,14,6
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,05,Black,417,389,318,333
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,06,Hispanic,313,314,268,235
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,07,Asian/Pacific Islander,52,58,35,66
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,08,White,83,57,69,73
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,09,Multiracial,23,29,27,24
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,04,American Indian/Alaska Native,9,9,7,1
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,05,Black,256,186,140,148
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,06,Hispanic,1305,1075,944,1055
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,07,Asian/Pacific Islander,33,17,30,18
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,08,White,31,13,19,18
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,09,Multiracial,20,8,4,9
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,04,American Indian/Alaska Native,10,18,12,12
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,05,Black,476,465,405,346
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,06,Hispanic,1180,1255,1037,896
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,07,Asian/Pacific Islander,25,29,21,28
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,08,White,23,27,17,25
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,09,Multiracial,15,12,4,12
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,04,American Indian/Alaska Native,17,27,30,9
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,05,Black,453,461,384,412
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,06,Hispanic,1072,1136,923,850
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,07,Asian/Pacific Islander,85,109,108,85
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,08,White,68,103,83,61
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,09,Multiracial,10,11,3,3
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,04,American Indian/Alaska Native,13,18,15,16
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,05,Black,572,570,484,443
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,06,Hispanic,1418,1513,1258,1230
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,07,Asian/Pacific Islander,44,38,36,44
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,08,White,26,22,24,26
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,09,Multiracial,17,6,7,6
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,04,American Indian/Alaska Native,43,38,53,40
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,05,Black,740,651,568,541
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,06,Hispanic,2344,2223,2017,1858
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,07,Asian/Pacific Islander,601,631,607,625
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,08,White,284,321,300,321
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,09,Multiracial,50,64,56,22
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,04,American Indian/Alaska Native,24,35,34,32
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,05,Black,858,885,755,691
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,06,Hispanic,1250,1131,900,853
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,07,Asian/Pacific Islander,117,124,120,123
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,08,White,156,132,136,131
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,09,Multiracial,16,18,13,15
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,04,American Indian/Alaska Native,9,13,14,13
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,05,Black,253,315,290,304
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,06,Hispanic,841,961,870,759
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,07,Asian/Pacific Islander,25,31,20,26
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,08,White,12,20,21,20
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,09,Multiracial,5,9,4,3
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,04,American Indian/Alaska Native,27,29,22,20
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,05,Black,995,1077,957,936
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,06,Hispanic,489,447,414,342
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,07,Asian/Pacific Islander,867,1010,987,1006
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,08,White,339,436,387,429
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,09,Multiracial,163,50,54,39
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,04,American Indian/Alaska Native,15,12,16,9
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,05,Black,464,447,350,323
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,06,Hispanic,885,866,831,792
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,07,Asian/Pacific Islander,160,130,171,132
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,08,White,81,98,68,66
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,09,Multiracial,43,27,29,23
2020-21,1/11/2021,KINGS,331500010000,NYC GEOG DIST #15 - BROOKLYN,04,American Indian/Alaska Native,14,9,12,11
2020-21,1/11/2021,KINGS,331500010000,NYC GEOG DIST #15 - BROOKLYN,05,Black,465,570,561,553
2020-21,1/11/2021,KINGS,331500010000,NYC GEOG DIST #15 - BROOKLYN,06,Hispanic,624,794,639,578
2020-21,1/11/2021,KINGS,331500010000,NYC GEOG DIST #15 - BROOKLYN,07,Asian/Pacific Islander,146,129,113,87
