SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,SUBGROUP CODE,SUBGROUP NAME,PK12 TOTAL,GRADE 9,GRADE 10,GRADE 11,GRADE 12
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,02,Female,6352,273,287,356,1294
2020-21,1/11/2021,NEW YORK,307500010000,NYC SPEC SCHOOLS - DIST 75,03,Male,17911,785,685,731,2958
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,02,Female,5333,436,422,416,360
2020-21,1/11/2021,NEW YORK,310100010000,NYC GEOG DIST # 1 - MANHATTAN,03,Male,5770,390,457,398,397
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,02,Female,31419,5001,4716,4651,4100
2020-21,1/11/2021,NEW YORK,310200010000,NYC GEOG DIST # 2 - MANHATTAN,03,Male,28826,4178,4230,3855,3546
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,02,Female,11379,1198,1502,1278,1287
2020-21,1/11/2021,NEW YORK,310300010000,NYC GEOG DIST # 3 - MANHATTAN,03,Male,9660,831,964,810,846
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,02,Female,6380,505,530,486,499
2020-21,1/11/2021,NEW YORK,310400010000,NYC GEOG DIST # 4 - MANHATTAN,03,Male,5892,396,382,408,391
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,02,Female,4625,379,369,356,356
2020-21,1/11/2021,NEW YORK,310500010000,NYC GEOG DIST # 5 - MANHATTAN,03,Male,5303,521,484,375,381
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,02,Female,10054,746,626,581,639
2020-21,1/11/2021,NEW YORK,310600010000,NYC GEOG DIST # 6 - MANHATTAN,03,Male,10399,908,682,563,610
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,02,Female,8394,759,801,699,605
2020-21,1/11/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,03,Male,9396,970,1005,797,714
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,02,Female,12498,807,873,743,687
2020-21,1/11/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,03,Male,13025,898,974,788,733
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,02,Female,15298,1010,1084,935,911
2020-21,1/11/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,03,Male,15493,1080,1083,889,854
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,02,Female,24681,1962,1872,1775,1659
2020-21,1/11/2021,BRONX,321000010000,NYC GEOG DIST #10 - BRONX,03,Male,25561,2100,2056,1826,1748
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,02,Female,17132,1063,991,891,870
2020-21,1/11/2021,BRONX,321100010000,NYC GEOG DIST #11 - BRONX,03,Male,18622,1358,1334,1067,975
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,02,Female,9453,513,618,543,571
2020-21,1/11/2021,BRONX,321200010000,NYC GEOG DIST #12 - BRONX,03,Male,9833,632,731,676,554
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,02,Female,9821,1341,1406,1246,1167
2020-21,1/11/2021,KINGS,331300010000,NYC GEOG DIST #13 - BROOKLYN,03,Male,10905,1539,1643,1575,1605
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,02,Female,8483,721,713,673,610
2020-21,1/11/2021,KINGS,331400010000,NYC GEOG DIST #14 - BROOKLYN,03,Male,9134,927,867,792,735
2020-21,1/11/2021,KINGS,331500010000,NYC GEOG DIST #15 - BROOKLYN,02,Female,15513,793,924,837,767
2020-21,1/11/2021,KINGS,331500010000,NYC GEOG DIST #15 - BROOKLYN,03,Male,15461,709,874,722,681
2020-21,1/11/2021,KINGS,331600010000,NYC GEOG DIST #16 - BROOKLYN,02,Female,2919,150,145,191,156
2020-21,1/11/2021,KINGS,331600010000,NYC GEOG DIST #16 - BROOKLYN,03,Male,3212,239,260,247,261
2020-21,1/11/2021,KINGS,331700010000,NYC GEOG DIST #17 - BROOKLYN,02,Female,10292,1066,951,934,938
2020-21,1/11/2021,KINGS,331700010000,NYC GEOG DIST #17 - BROOKLYN,03,Male,10026,934,899,811,869
2020-21,1/11/2021,KINGS,331800010000,NYC GEOG DIST #18 - BROOKLYN,02,Female,6046,382,341,352,386
2020-21,1/11/2021,KINGS,331800010000,NYC GEOG DIST #18 - BROOKLYN,03,Male,6546,472,544,404,474
2020-21,1/11/2021,KINGS,331900010000,NYC GEOG DIST #19 - BROOKLYN,02,Female,9845,608,624,547,492
2020-21,1/11/2021,KINGS,331900010000,NYC GEOG DIST #19 - BROOKLYN,03,Male,10953,1024,888,701,660
2020-21,1/11/2021,KINGS,332000010000,NYC GEOG DIST #20 - BROOKLYN,02,Female,25212,1662,1597,1367,1351
2020-21,1/11/2021,KINGS,332000010000,NYC GEOG DIST #20 - BROOKLYN,03,Male,27169,2090,2040,1610,1468
2020-21,1/11/2021,KINGS,332100010000,NYC GEOG DIST #21 - BROOKLYN,02,Female,17437,1597,1537,1223,1170
2020-21,1/11/2021,KINGS,332100010000,NYC GEOG DIST #21 - BROOKLYN,03,Male,18326,1647,1710,1219,1237
